time,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4
0.000000,0.000000,0.000000,-5000.000000,0.000000,5000.000000,0.000000,0.000000,-5000.000000,0.000000,5000.000000
1.000000,0.000000,0.000000,-5000.000000,-2.000000,5000.000000,2.000000,2.000000,-5000.000000,-2.000000,5000.000000
2.000000,-0.000000,0.000000,-4999.998999,-4.000000,4999.998999,4.000000,4.000000,-4999.998999,-4.000000,4999.998999
3.000000,-0.000000,0.000000,-4999.995995,-5.999998,4999.995995,5.999998,5.999998,-4999.995995,-5.999998,4999.995995
4.000000,0.000000,0.000000,-4999.990988,-7.999994,4999.990988,7.999994,7.999994,-4999.990988,-7.999994,4999.990988
5.000000,0.000000,0.000000,-4999.983979,-9.999988,4999.983979,9.999988,9.999988,-4999.983979,-9.999988,4999.983979
6.000000,0.000000,0.000000,-4999.974967,-11.999978,4999.974967,11.999978,11.999978,-4999.974967,-11.999978,4999.974967
7.000000,0.000000,0.000000,-4999.963952,-13.999964,4999.963952,13.999964,13.999964,-4999.963952,-13.999964,4999.963952
8.000000,0.000000,0.000000,-4999.950934,-15.999944,4999.950934,15.999944,15.999944,-4999.950934,-15.999944,4999.950934
9.000000,0.000000,0.000000,-4999.935914,-17.999918,4999.935914,17.999918,17.999918,-4999.935914,-17.999918,4999.935914
10.000000,0.000000,0.000000,-4999.918891,-19.999886,4999.918891,19.999886,19.999886,-4999.918891,-19.999886,4999.918891
11.000000,0.000000,0.000000,-4999.899866,-21.999846,4999.899866,21.999846,21.999846,-4999.899866,-21.999846,4999.899866
12.000000,0.000000,0.000000,-4999.878838,-23.999797,4999.878838,23.999797,23.999797,-4999.878838,-23.999797,4999.878838
13.000000,0.000000,0.000000,-4999.855807,-25.999740,4999.855807,25.999740,25.999740,-4999.855807,-25.999740,4999.855807
14.000000,0.000000,0.000000,-4999.830773,-27.999672,4999.830773,27.999672,27.999672,-4999.830773,-27.999672,4999.830773
15.000000,0.000000,0.000000,-4999.803737,-29.999593,4999.803737,29.999593,29.999593,-4999.803737,-29.999593,4999.803737
16.000000,-0.000000,0.000000,-4999.774698,-31.999503,4999.774698,31.999503,31.999503,-4999.774698,-31.999503,4999.774698
17.000000,-0.000000,0.000000,-4999.743656,-33.999401,4999.743656,33.999401,33.999401,-4999.743656,-33.999401,4999.743656
18.000000,-0.000000,0.000000,-4999.710612,-35.999285,4999.710612,35.999285,35.999285,-4999.710612,-35.999285,4999.710612
19.000000,-0.000000,0.000000,-4999.675564,-37.999155,4999.675564,37.999155,37.999155,-4999.675564,-37.999155,4999.675564
20.000000,-0.000000,0.000000,-4999.638514,-39.999011,4999.638514,39.999011,39.999011,-4999.638514,-39.999011,4999.638514
21.000000,-0.000000,0.000000,-4999.599461,-41.998850,4999.599461,41.998850,41.998850,-4999.599461,-41.998850,4999.599461
22.000000,-0.000000,0.000000,-4999.558406,-43.998674,4999.558406,43.998674,43.998674,-4999.558406,-43.998674,4999.558406
23.000000,0.000000,0.000000,-4999.515347,-45.998480,4999.515347,45.998480,45.998480,-4999.515347,-45.998480,4999.515347
24.000000,0.000000,0.000000,-4999.470286,-47.998268,4999.470286,47.998268,47.998268,-4999.470286,-47.998268,4999.470286
25.000000,0.000000,0.000000,-4999.423222,-49.998037,4999.423222,49.998037,49.998037,-4999.423222,-49.998037,4999.423222
26.000000,0.000000,0.000000,-4999.374155,-51.997787,4999.374155,51.997787,51.997787,-4999.374155,-51.997787,4999.374155
27.000000,0.000000,0.000000,-4999.323086,-53.997516,4999.323086,53.997516,53.997516,-4999.323086,-53.997516,4999.323086
28.000000,0.000000,0.000000,-4999.270013,-55.997224,4999.270013,55.997224,55.997224,-4999.270013,-55.997224,4999.270013
29.000000,0.000000,0.000000,-4999.214938,-57.996910,4999.214938,57.996910,57.996910,-4999.214938,-57.996910,4999.214938
30.000000,0.000000,0.000000,-4999.157859,-59.996573,4999.157859,59.996573,59.996573,-4999.157859,-59.996573,4999.157859
31.000000,0.000000,0.000000,-4999.098778,-61.996213,4999.098778,61.996213,61.996213,-4999.098778,-61.996213,4999.098778
32.000000,0.000000,0.000000,-4999.037694,-63.995828,4999.037694,63.995828,63.995828,-4999.037694,-63.995828,4999.037694
33.000000,0.000000,0.000000,-4998.974607,-65.995418,4998.974607,65.995418,65.995418,-4998.974607,-65.995418,4998.974607
34.000000,0.000000,0.000000,-4998.909517,-67.994981,4998.909517,67.994981,67.994981,-4998.909517,-67.994981,4998.909517
35.000000,0.000000,0.000000,-4998.842424,-69.994518,4998.842424,69.994518,69.994518,-4998.842424,-69.994518,4998.842424
36.000000,0.000000,0.000000,-4998.773327,-71.994027,4998.773327,71.994027,71.994027,-4998.773327,-71.994027,4998.773327
37.000000,0.000000,0.000000,-4998.702228,-73.993508,4998.702228,73.993508,73.993508,-4998.702228,-73.993508,4998.702228
38.000000,0.000000,0.000000,-4998.629126,-75.992960,4998.629126,75.992960,75.992960,-4998.629126,-75.992960,4998.629126
39.000000,0.000000,0.000000,-4998.554021,-77.992381,4998.554021,77.992381,77.992381,-4998.554021,-77.992381,4998.554021
40.000000,0.000000,0.000000,-4998.476913,-79.991772,4998.476913,79.991772,79.991772,-4998.476913,-79.991772,4998.476913
41.000000,0.000000,0.000000,-4998.397801,-81.991131,4998.397801,81.991131,81.991131,-4998.397801,-81.991131,4998.397801
42.000000,0.000000,0.000000,-4998.316686,-83.990458,4998.316686,83.990458,83.990458,-4998.316686,-83.990458,4998.316686
43.000000,0.000000,0.000000,-4998.233569,-85.989751,4998.233569,85.989751,85.989751,-4998.233569,-85.989751,4998.233569
44.000000,0.000000,0.000000,-4998.148448,-87.989010,4998.148448,87.989010,87.989010,-4998.148448,-87.989010,4998.148448
45.000000,0.000000,0.000000,-4998.061324,-89.988234,4998.061324,89.988234,89.988234,-4998.061324,-89.988234,4998.061324
46.000000,0.000000,0.000000,-4997.972196,-91.987423,4997.972196,91.987423,91.987423,-4997.972196,-91.987423,4997.972196
47.000000,0.000000,0.000000,-4997.881065,-93.986575,4997.881065,93.986575,93.986575,-4997.881065,-93.986575,4997.881065
48.000000,0.000000,0.000000,-4997.787931,-95.985690,4997.787931,95.985690,95.985690,-4997.787931,-95.985690,4997.787931
49.000000,0.000000,0.000000,-4997.692794,-97.984767,4997.692794,97.984767,97.984767,-4997.692794,-97.984767,4997.692794
50.000000,0.000000,0.000000,-4997.595653,-99.983805,4997.595653,99.983805,99.983805,-4997.595653,-99.983805,4997.595653
51.000000,0.000000,0.000000,-4997.496509,-101.982804,4997.496509,101.982804,101.982804,-4997.496509,-101.982804,4997.496509
52.000000,0.000000,0.000000,-4997.395362,-103.981761,4997.395362,103.981761,103.981761,-4997.395362,-103.981761,4997.395362
53.000000,0.000000,0.000000,-4997.292211,-105.980678,4997.292211,105.980678,105.980678,-4997.292211,-105.980678,4997.292211
54.000000,0.000000,0.000000,-4997.187056,-107.979552,4997.187056,107.979552,107.979552,-4997.187056,-107.979552,4997.187056
55.000000,0.000000,0.000000,-4997.079898,-109.978384,4997.079898,109.978384,109.978384,-4997.079898,-109.978384,4997.079898
56.000000,0.000000,0.000000,-4996.970737,-111.977172,4996.970737,111.977172,111.977172,-4996.970737,-111.977172,4996.970737
57.000000,0.000000,-0.000000,-4996.859572,-113.975915,4996.859572,113.975915,113.975915,-4996.859572,-113.975915,4996.859572
58.000000,0.000000,-0.000000,-4996.746403,-115.974613,4996.746403,115.974613,115.974613,-4996.746403,-115.974613,4996.746403
59.000000,0.000000,-0.000000,-4996.631231,-117.973265,4996.631231,117.973265,117.973265,-4996.631231,-117.973265,4996.631231
60.000000,0.000000,-0.000000,-4996.514055,-119.971870,4996.514055,119.971870,119.971870,-4996.514055,-119.971870,4996.514055
61.000000,0.000000,-0.000000,-4996.394875,-121.970428,4996.394875,121.970428,121.970428,-4996.394875,-121.970428,4996.394875
62.000000,0.000000,-0.000000,-4996.273691,-123.968937,4996.273691,123.968937,123.968937,-4996.273691,-123.968937,4996.273691
63.000000,0.000000,-0.000000,-4996.150504,-125.967396,4996.150504,125.967396,125.967396,-4996.150504,-125.967396,4996.150504
64.000000,0.000000,-0.000000,-4996.025313,-127.965806,4996.025313,127.965806,127.965806,-4996.025313,-127.965806,4996.025313
65.000000,0.000000,-0.000000,-4995.898118,-129.964164,4995.898118,129.964164,129.964164,-4995.898118,-129.964164,4995.898118
66.000000,0.000000,-0.000000,-4995.768919,-131.962471,4995.768919,131.962471,131.962471,-4995.768919,-131.962471,4995.768919
67.000000,0.000000,-0.000000,-4995.637716,-133.960725,4995.637716,133.960725,133.960725,-4995.637716,-133.960725,4995.637716
68.000000,0.000000,-0.000000,-4995.504509,-135.958926,4995.504509,135.958926,135.958926,-4995.504509,-135.958926,4995.504509
69.000000,0.000000,-0.000000,-4995.369298,-137.957073,4995.369298,137.957073,137.957073,-4995.369298,-137.957073,4995.369298
70.000000,0.000000,-0.000000,-4995.232083,-139.955165,4995.232083,139.955165,139.955165,-4995.232083,-139.955165,4995.232083
71.000000,0.000000,-0.000000,-4995.092864,-141.953201,4995.092864,141.953201,141.953201,-4995.092864,-141.953201,4995.092864
72.000000,0.000000,-0.000000,-4994.951641,-143.951180,4994.951641,143.951180,143.951180,-4994.951641,-143.951180,4994.951641
73.000000,0.000000,-0.000000,-4994.808413,-145.949102,4994.808413,145.949102,145.949102,-4994.808413,-145.949102,4994.808413
74.000000,0.000000,-0.000000,-4994.663181,-147.946966,4994.663181,147.946966,147.946966,-4994.663181,-147.946966,4994.663181
75.000000,0.000000,-0.000000,-4994.515945,-149.944771,4994.515945,149.944771,149.944771,-4994.515945,-149.944771,4994.515945
76.000000,0.000000,-0.000000,-4994.366705,-151.942517,4994.366705,151.942517,151.942517,-4994.366705,-151.942517,4994.366705
77.000000,0.000000,-0.000000,-4994.215460,-153.940201,4994.215460,153.940201,153.940201,-4994.215460,-153.940201,4994.215460
78.000000,0.000000,-0.000000,-4994.062211,-155.937825,4994.062211,155.937825,155.937825,-4994.062211,-155.937825,4994.062211
79.000000,0.000000,-0.000000,-4993.906957,-157.935386,4993.906957,157.935386,157.935386,-4993.906957,-157.935386,4993.906957
80.000000,0.000000,-0.000000,-4993.749699,-159.932884,4993.749699,159.932884,159.932884,-4993.749699,-159.932884,4993.749699
81.000000,0.000000,-0.000000,-4993.590436,-161.930318,4993.590436,161.930318,161.930318,-4993.590436,-161.930318,4993.590436
82.000000,0.000000,-0.000000,-4993.429168,-163.927688,4993.429168,163.927688,163.927688,-4993.429168,-163.927688,4993.429168
83.000000,0.000000,-0.000000,-4993.265896,-165.924992,4993.265896,165.924992,165.924992,-4993.265896,-165.924992,4993.265896
84.000000,0.000000,-0.000000,-4993.100619,-167.922230,4993.100619,167.922230,167.922230,-4993.100619,-167.922230,4993.100619
85.000000,0.000000,-0.000000,-4992.933337,-169.919401,4992.933337,169.919401,169.919401,-4992.933337,-169.919401,4992.933337
86.000000,0.000000,-0.000000,-4992.764051,-171.916504,4992.764051,171.916504,171.916504,-4992.764051,-171.916504,4992.764051
87.000000,0.000000,-0.000000,-4992.592759,-173.913539,4992.592759,173.913539,173.913539,-4992.592759,-173.913539,4992.592759
